ID,Name,Glottocode
stan1293,English,stan1293
indo1316,Indonesian,indo1316
lezg1247,Lezgian,lezg1247
kala1399,West Greenlandic,kala1399
haka1240,Hakha Lai,haka1240
russ1263,Russian,russ1263
nucl1301,Turkish,nucl1301
lati1261,Latin,lati1261
stan1290,French,stan1290
stan1295,German,stan1295
hitt1242,Hittite,hitt1242
djam1255,Jaminjung,djam1255
iris1253,Irish,iris1253
kiny1244,Kinyarwanda,kiny1244
ital1282,Italian,ital1282
belh1239,Belhare,belh1239
hunz1247,Hunzib,hunz1247
lako1247,Lakhota,lako1247
taga1270,Tagalog,taga1270
hebr1245,Hebrew,hebr1245